,NAME,room type,price,minimum nights,review rate number,house_rules,maximum occupancy,city
0,Beautiful room upper manhttn.,Private room,131.0,1.0,2.0,No smoking,1,Christiansted
1,Roomy and Comftable Room,Private room,548.0,10.0,5.0,No children under 10 & No parties,2,Laredo
2,BIG room with bath & balcony in BK!,Private room,1123.0,1.0,4.0,No parties,2,Louisville
3,4A-,Entire home/apt,225.0,30.0,4.0,No pets,3,Greensboro
4,Nice and Comfortable Private Room,Private room,761.0,2.0,1.0,No smoking & No parties,2,Cape Girardeau
5,"☆  HUGE, SUNLIT Room - 3 min walk from Train !",Private room,412.0,29.0,3.0,No smoking & No visitors,1,State College
6,"Artful UWS King Room - near Central Park, Museums",Private room,219.0,1.0,5.0,No smoking,2,Peoria
7,Huge Bedroom - East Village - NYC,Private room,60.0,2.0,4.0,No children under 10,2,Roswell
8,Columbus Circle Single Bedroom,Private room,333.0,7.0,1.0,No children under 10 & No parties,1,Monroe
9,Simple Spacious RM near Queens Center Mall & NYPD,Private room,311.0,30.0,2.0,No visitors & No parties,2,Norfolk
10,Entire Modern Studio Apartment/Prime Location,Entire home/apt,1109.0,30.0,1.0,No parties & No smoking,5,Pocatello
11,Luxury large Penthouse /Fireplace / City views..,Entire home/apt,745.0,30.0,3.0,,7,Springfield
12,Home: Cozy Secure Convenient 12 min to NYC舒適安全便利的家,Shared room,746.0,1.0,4.0,No parties,1,College Station
13,Sunny bedroom off Prospect Park,Private room,627.0,3.0,2.0,No visitors,1,Bemidji
14,Private Room in Two-Bedroom Brooklyn Apartment,Private room,1191.0,1.0,3.0,No pets,2,St. George
15,HEART OF NYC! Sunny furn 1 br wifi,Entire home/apt,235.0,3.0,1.0,No parties & No pets,2,Hilo
16,Architect's Bedroom in Large Brooklyn Apartment,Private room,112.0,7.0,4.0,No pets,1,Hyannis
17,Entire 2nd Floor with Private Bath,Private room,1095.0,14.0,4.0,No smoking & No visitors & No children under 10,2,Medford
18,"Modern, Spacious Hideaway in Historic Brooklyn",Entire home/apt,386.0,6.0,3.0,No pets & No parties,2,Wenatchee
19,Cozy Private Room in Chinatown/ Lower East Side,Private room,132.0,7.0,4.0,No pets & No visitors,2,Knoxville
20,Sonder | 21 Chelsea | Central 1BR + Rooftop,Entire home/apt,1105.0,29.0,3.0,No visitors & No smoking & No children under 10,9,Waco
21,Spacious East Village Apartment,Entire home/apt,1001.0,90.0,4.0,No children under 10,9,Staunton
22,Beautiful apartment ~25min from Times Square,Entire home/apt,571.0,5.0,5.0,No smoking & No visitors,5,Pellston
23,Söderläge - Spacious Queen bedroom in Williamsburg,Private room,668.0,1.0,4.0,No parties,2,Bemidji
24,Modern furnished 2-Bedroom NYC Apartment!,Entire home/apt,647.0,30.0,1.0,No smoking,3,Dubuque
25,Beautiful duplex in New York,Entire home/apt,1185.0,7.0,4.0,No pets,2,Oklahoma City
26,Private Room,Private room,270.0,5.0,4.0,No pets,2,Kotzebue
27,Private room near Columbia,Private room,420.0,1.0,1.0,No visitors,1,Daytona Beach
28,Sunny 2BR Apartment in Williamsburg,Entire home/apt,495.0,1.0,2.0,No children under 10 & No smoking & No parties,3,Lincoln
29,Home away from home in the West Village.,Entire home/apt,148.0,2.0,2.0,No children under 10 & No pets,2,Ogden
30,Apartment Available in Bay Ridge Brooklyn,Shared room,479.0,1.0,2.0,No children under 10 & No parties,1,Hancock
31,Large room with AC a in house with a porch,Private room,758.0,2.0,4.0,,2,Tampa
32,Comfy Sunnyside bedroom,Private room,888.0,5.0,5.0,,1,Tucson
33,"Cozy Railroad Apartment in Greenpoint, BK",Entire home/apt,1009.0,1.0,3.0,No smoking,7,Williston
34,An urban nest; 7 minutes from Central Park,Entire home/apt,437.0,5.0,3.0,No children under 10 & No visitors & No parties,3,Latrobe
35,Renovated: 15min 4 Train ride to NYC-Crown Heights,Private room,751.0,3.0,3.0,,2,Jackson
36,Stylish 1 bed room in the East Village,Entire home/apt,674.0,3.0,3.0,No children under 10,6,Evansville
37,ON A BUDGET COZY IN BROOKLYN In NYC,Private room,99.0,3.0,3.0,No visitors & No parties,1,Montgomery
38,The Gramercy East,Entire home/apt,1031.0,2.0,4.0,No parties & No pets,3,Syracuse
39,Charming Fort Greene Apartment,Entire home/apt,722.0,2.0,5.0,No visitors & No parties & No children under 10,7,Albuquerque
40,Private furnished bedroom in Williamsburg,Private room,179.0,5.0,2.0,No parties & No smoking & No children under 10,1,Orlando
41,NYC Whole Apt.  Dec 26th- Feb 3rd,Entire home/apt,1069.0,14.0,1.0,No children under 10,5,Bethel
42,Simple and clean bedroom with good view and light,Private room,669.0,1.0,5.0,No children under 10,2,Miami
43,Doorman Gym 2 Beds Luxury Building!5211,Private room,1041.0,30.0,5.0,No parties & No visitors,2,Martha's Vineyard
44,Spacious 1 BR & terrace on 19th floor viewing NYC,Entire home/apt,427.0,,2.0,No parties & No pets,3,Charlotte
45,Lux 1BR in the heart of NYC Theater district!,Entire home/apt,81.0,30.0,4.0,No children under 10,3,Durango
46,Private bedroom with queen bed and  single bed.,Private room,935.0,1.0,1.0,No visitors,1,Latrobe
47,Lovely Guestroom in Elevator Building,Private room,359.0,2.0,1.0,No smoking & No visitors & No parties,2,Tampa
48,Cute 1 bdrm in shared crown heights apt w backyard,Private room,574.0,1.0,2.0,No visitors,2,Manhattan
49,Spacious 1 BD w/washer dryer in UES,Entire home/apt,499.0,2.0,2.0,No parties & No children under 10 & No visitors,4,Atlantic City
50,"166 Reviews, Single-Family House",Entire home/apt,426.0,2.0,3.0,No parties & No children under 10,3,Florence
51,Elegant room in Manhattan only for woman,Private room,1130.0,1.0,2.0,No visitors,1,Tyler
52,HUGE QUEEN ROOM IN 1500 SQFT WBURG BALLROOM APT,Private room,478.0,4.0,5.0,No parties,1,Baton Rouge
53,**Cozy Space - Private Access**,Private room,954.0,2.0,4.0,No smoking & No children under 10,1,Redding
54,M1 Twin couch bed sleeps 1 guest,Shared room,608.0,1.0,2.0,No children under 10 & No pets,1,Twin Falls
55,3BR Modern Upper West CPW w/doorman,Entire home/apt,442.0,3.0,1.0,No pets & No children under 10 & No parties,3,Hagerstown
56,Cute Greenpoint room,Private room,335.0,3.0,2.0,No children under 10 & No pets,1,Charlotte
57,Cosy Inwood apartment,Private room,413.0,1.0,4.0,No children under 10,1,Savannah
58,3 Bedroom Cozy Apartmnet,Entire home/apt,724.0,4.0,3.0,No smoking & No pets & No parties,4,Redding
59,Room with a private bathroom,Private room,863.0,1.0,3.0,No smoking & No parties & No children under 10,2,Riverton
60,Greenpoint Apartment,Private room,286.0,10.0,2.0,No pets & No parties,1,Wrangell
61,Garage Designer Loft,Entire home/apt,233.0,2.0,4.0,No smoking,3,Santa Fe
62,Cozy apartment near JFK,Entire home/apt,59.0,7.0,2.0,No visitors,3,Cape Girardeau
63,NEW! Beautiful room in flat w/ rooftop in SOHO :),Private room,668.0,4.0,4.0,No children under 10,2,Scottsbluff
64,Affordable Private Cozy Room!,Private room,513.0,3.0,1.0,No pets,1,Cedar Rapids
65,Comfortable and modern one bedroom in Midtown West,Entire home/apt,731.0,5.0,3.0,No pets,5,Allentown
66,Sunny bedroom at the heart of Harlem,Private room,518.0,5.0,2.0,No smoking,1,Hyannis
67,Nice Clean Official Cozy Suite 2 In Brooklyn,Private room,413.0,3.0,4.0,No pets,2,New Orleans
68,Your Absolute Best NYC Experience!!!,Entire home/apt,936.0,2.0,4.0,No pets,2,Butte
69,"Quiet cozy apartment, air-conditioned room",Private room,1040.0,3.0,3.0,,1,Bozeman
70,Bright Chelsea Entire 2 Bedroom Apartment,Entire home/apt,638.0,3.0,3.0,No smoking & No parties,4,St. Cloud
71,Comfy one bedroom with backyard,Entire home/apt,252.0,3.0,5.0,No pets,3,Deadhorse
72,"Victorian Home, Welcoming Comfort",Private room,,2.0,2.0,No children under 10 & No smoking,2,Durango
73,"Large, beautiful room near Bushwick",Private room,978.0,5.0,1.0,No children under 10,1,Harlingen
74,2 bedroom apartment in harlem,Entire home/apt,943.0,1.0,4.0,No parties & No pets,7,Lansing
75,Private room in a peaceful home ❤,Private room,918.0,1.0,1.0,No parties & No visitors,2,Redding
76,Shared Apartment by Times Square Manhattan,Shared room,1050.0,1.0,4.0,No visitors & No pets & No smoking,1,Seattle
77,Light-filled South Slope Nest!,Entire home/apt,790.0,2.0,2.0,No parties,6,Manhattan
78,Beautiful Room in a Classic Harlem Neighborhood!,Private room,788.0,3.0,5.0,No pets,2,Deadhorse
79,Charming cozy bedroom in Clinton Hill!,Private room,274.0,3.0,5.0,No smoking & No parties & No pets,2,Petersburg
80,Large quite apartment across from beautiful park,Entire home/apt,971.0,7.0,3.0,,6,Hayden
81,Awesome Private Room in Vibrant Bronx,Private room,928.0,2.0,5.0,,1,Binghamton
82,WBurg Priv Room. Great transport & local amenities,Private room,635.0,1.0,4.0,No children under 10,2,Lincoln
83,Sunny & quiet 2BR in great location,Entire home/apt,138.0,4.0,3.0,No pets & No children under 10,3,Mason City
84,2 Bedroom Apartment in Prime Midtown West,Entire home/apt,1121.0,3.0,3.0,No smoking & No children under 10,3,Charleston
85,Williamsburg Abode,Private room,1122.0,3.0,2.0,No children under 10,2,Montrose
86,Private room in Historic Queens NY,Private room,865.0,2.0,1.0,No parties & No smoking,2,White Plains
87,Cozy bedroom in diverse neighborhood near JFK,Private room,902.0,2.0,2.0,No pets & No parties,2,Lihue
88,1 BR and a sleeper sofa,Entire home/apt,258.0,5.0,2.0,No visitors & No children under 10,3,Grand Forks
89,Midtown East 2 Bed/2 Bath Elevator Building Apt,Entire home/apt,540.0,7.0,3.0,No pets,4,Los Angeles
90,Amazing apartment with great views,Entire home/apt,924.0,3.0,2.0,No smoking & No children under 10,4,Hartford
91,Beautiful Beach  & Great Space,Private room,1107.0,2.0,3.0,No visitors,2,Kearney
92,Boho Chic Apartment in the Heart of Brooklyn,Entire home/apt,615.0,2.0,4.0,No smoking,6,Brownsville
93,Elegant Apartment with Spectacular views.,Shared room,236.0,1.0,3.0,No children under 10 & No pets & No parties,1,Joplin
94,"Private home next to beach,transport,parking",Entire home/apt,581.0,10.0,5.0,,3,Texarkana
