Name,Latitude,Longitude,Address,Phone,Website,City
Cabrillo National Monument,32.6722558,-117.2416094,"1800 Cabrillo Memorial Dr, San Diego, CA 92106, USA",(619) 523-4285,https://www.nps.gov/cabr/index.htm,San Diego
La Jolla Shores Park,32.8581537,-117.2561029,"8300 Camino Del Oro, La Jolla, CA 92037, USA",(619) 221-8899,https://www.sandiego.gov/lifeguards/beaches/shores,San Diego
California Tower,32.7316093,-117.1521668,"California Tower, 1350 El Prado, San Diego, CA 92101, USA",(619) 239-2001,https://museumofus.org/exhibits/california-tower/,San Diego
SeaWorld San Diego,32.7642958,-117.2264396,"500 Sea World Dr., San Diego, CA 92109, USA",(619) 222-4732,https://seaworld.com/san-diego?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,San Diego
Old Town San Diego,32.7558268,-117.1972614,"2829 Juan St, San Diego, CA 92110, USA",Unknown,https://www.oldtownsandiego.org/,San Diego
Balboa Park,32.7341479,-117.144553,"San Diego, CA, USA",(619) 239-0512,http://www.balboapark.org/,San Diego
Seaport Village,32.7090645,-117.1709366,"849 W Harbor Dr, San Diego, CA 92101, USA",(619) 530-0704,https://seaportvillage.com/,San Diego
The San Diego Museum of Art,32.732158,-117.15043,"1450 El Prado, San Diego, CA 92102, USA",(619) 232-7931,https://www.sdmart.org/,San Diego
USS Midway Museum,32.71373979999999,-117.1751265,"910 N Harbor Dr, San Diego, CA 92101, USA",(619) 544-9600,https://www.midway.org/,San Diego
Skytower,32.7654226,-117.2266623,"500 Sea World Dr., San Diego, CA 92109, USA",Unknown,Unknown,San Diego
Dolphin Point,32.76538969999999,-117.2274121,"500 Sea World Dr., San Diego, CA 92109, USA",(915) 525-4772,Unknown,San Diego
San Diego Zoo,32.7360353,-117.1509849,"2920 Zoo Dr, San Diego, CA 92101, USA",(619) 231-1515,https://zoo.sandiegozoo.org/,San Diego
Mission Bay Park,32.7641067,-117.2262649,"San Diego, CA 92109, USA",(619) 525-8213,https://www.sandiego.gov/locations/seaworld-san-diego,San Diego
Whaley House Museum,32.7529044,-117.1945102,"2476 San Diego Ave, San Diego, CA 92110, USA",(619) 786-1143,https://www.whaleyhousesandiego.com/,San Diego
Sunset Cliffs Natural Park,32.715915,-117.2551679,"Ladera St, San Diego, CA 92107, USA",(619) 525-8213,https://www.sandiego.gov/park-and-recreation/parks/regional/shoreline/sunset,San Diego
Old Town San Diego State Park,32.7549063,-117.1976407,"4002 Wallace St, San Diego, CA 92110, USA",(619) 220-5422,http://www.parks.ca.gov/?page_id=663,San Diego
Martin Luther King Jr Promenade,32.7083575,-117.1619929,"326 W Harbor Dr, San Diego, CA 92101, USA",(619) 525-8213,https://www.sandiego.gov/park-and-recreation/parks,San Diego
Balboa Park Carousel,32.7345758,-117.1467066,"1889 Zoo Pl, San Diego, CA 92101, USA",(619) 232-2282,http://balboaparkcarousel.org/,San Diego
San Diego Free Tour,32.70758560000001,-117.1602869,"200 Fifth Ave, San Diego, CA 92101, USA",(415) 503-7199,https://freesftour.com/,San Diego
Mission Beach Boardwalk | Ocean Front Walk,32.7714323,-117.2528308,"W Mission Bay Dr, San Diego, CA 92109, USA",(619) 232-3101,https://www.sandiego.gov/,San Diego
Pellston Pioneer Park,45.5494035,-84.78808509999999,"H627+88X, 100 Bud Carter Tr, Pellston, MI 49769, USA",(231) 539-2616,http://www.pellstonmi.com/,Pellston
Pellston Historical Society Museum,45.5527329,-84.7847187,"Petoskey to Mackinaw Trail, Pellston, MI 49769, USA",Unknown,https://www.facebook.com/pellstondepot/,Pellston
Philip J. Braun Nature Preserve,45.55068199999999,-84.79797429999999,"Mill St, Pellston, MI 49769, USA",(231) 347-0991,https://landtrust.org/explore/philip-j-braun-nature-preserve-north/,Pellston
Petoskey State Park,45.40671669999999,-84.9085162,"2475 M-119, Petoskey, MI 49770, USA",(231) 347-2311,http://www.dnr.state.mi.us/parksandtrails/Details.aspx?id=483&type=SPRK,Pellston
Headlands International Dark Sky Park,45.7754705,-84.7811722,"15675 Headlands Rd, Mackinaw City, MI 49701, USA",(231) 427-1001,http://www.midarkskypark.org/,Pellston
Wilderness State Park,45.7390953,-84.9220769,"903 Wilderness Park Dr, Carp Lake, MI 49718, USA",(231) 436-5381,https://www2.dnr.state.mi.us/parksandtrails/Details.aspx?id=509&type=SPRK,Pellston
Colonial Michilimackinac,45.7866083,-84.7320577,"800 N Huron Ave, Mackinaw City, MI 49701, USA",(231) 436-4100,http://www.mackinacparks.com/colonial-michilimackinac/,Pellston
Conkling Heritage Park,45.77852499999999,-84.72532319999999,"335 S Huron Ave, Mackinaw City, MI 49701, USA",(888) 455-8100,http://www.mackinawcity.com/,Pellston
Bear River Valley Recreation Area,45.3704648,-84.96290080000001,"302 Ione St, Petoskey, MI 49770, USA",(231) 347-2500,Unknown,Pellston
Mineral Well Park,45.3748812,-84.9603522,"136-158 E Lake St, Petoskey, MI 49770, USA",(231) 347-2500,http://www.petoskey.us/,Pellston
Aloha State Park,45.524797,-84.4654541,"4347 3rd St, Cheboygan, MI 49721, USA",(231) 625-2522,http://www.michigandnr.com/parksandtrails/details.aspx?id=434&type=SPRK,Pellston
McGulpin Point Lighthouse,45.7871056,-84.77295,"500 Headlands Rd, Mackinaw City, MI 49701, USA",(231) 436-5860,https://www.mcgulpinpoint.org/,Pellston
Castle Rock,45.9105972,-84.74158059999999,"N2690 Castle Rock Rd, St Ignace, MI 49781, USA",(906) 643-8268,http://www.castlerockmi.com/#!the-rock,Pellston
Oden Island Nature Preserve,45.414935,-84.81604999999999,"3160 Leeward Dr, Petoskey, MI 49770, USA",(231) 347-0991,http://landtrust.org/,Pellston
Burt Lake State Park,45.40204910000001,-84.6217363,"6635 State Park Dr, Indian River, MI 49749, USA",(231) 238-9392,https://www.dnr.state.mi.us/parksandtrails/Details.aspx?id=439&type=SPRK,Pellston
Andrew J Blackbird Museum,45.43042270000001,-84.9847527,"368 E Main St, Harbor Springs, MI 49740, USA",(231) 526-9771,Unknown,Pellston
