origin,destination,cost,duration,distance
Detroit,Norfolk,,10 hours 55 mins,"1,144 km"
Norfolk,Detroit,,10 hours 49 mins,"1,142 km"
Minneapolis,St. Louis,,8 hours 29 mins,901 km
St. Louis,Minneapolis,,8 hours 28 mins,900 km
Killeen,Abilene,,2 hours 56 mins,285 km
Killeen,Amarillo,,6 hours 58 mins,719 km
Killeen,Harlingen,,5 hours 51 mins,632 km
Killeen,Lubbock,,5 hours 19 mins,536 km
Killeen,College Station,,1 hour 50 mins,170 km
Killeen,Corpus Christi,,4 hours 13 mins,457 km
Killeen,Wichita Falls,,3 hours 48 mins,422 km
Killeen,Waco,,1 hour 1 min,98.6 km
Killeen,San Angelo,,2 hours 57 mins,296 km
Killeen,Houston,,3 hours 8 mins,306 km
Killeen,San Antonio,,2 hours 21 mins,235 km
Killeen,Del Rio,,4 hours 37 mins,452 km
Killeen,Mission,,,
Killeen,Beaumont,,,
Killeen,Longview,,3 hours 47 mins,379 km
Killeen,Midland,,4 hours 38 mins,477 km
Killeen,El Paso,,8 hours 29 mins,920 km
Killeen,Brownsville,,6 hours 12 mins,671 km
Killeen,Austin,,1 hour 10 mins,108 km
Killeen,Dallas,,2 hours 18 mins,249 km
Killeen,Laredo,,4 hours 38 mins,486 km
Killeen,Texarkana,,4 hours 54 mins,535 km
Abilene,Killeen,,2 hours 57 mins,285 km
Abilene,Amarillo,,4 hours 10 mins,446 km
Abilene,Harlingen,,7 hours 30 mins,802 km
Abilene,Lubbock,,2 hours 31 mins,263 km
Abilene,College Station,,4 hours 21 mins,420 km
Abilene,Corpus Christi,,5 hours 52 mins,627 km
Abilene,Wichita Falls,,2 hours 19 mins,246 km
Abilene,Waco,,3 hours 2 mins,297 km
Abilene,San Angelo,,1 hour 29 mins,145 km
Abilene,Houston,,5 hours 39 mins,570 km
Abilene,San Antonio,,3 hours 54 mins,394 km
Abilene,Del Rio,,3 hours 54 mins,398 km
Abilene,Mission,,,
Abilene,Beaumont,,,
Abilene,Longview,,4 hours 30 mins,497 km
Abilene,Midland,,2 hours 15 mins,239 km
Abilene,El Paso,,6 hours 34 mins,729 km
Abilene,Brownsville,,7 hours 52 mins,841 km
Abilene,Austin,,3 hours 36 mins,349 km
Abilene,Dallas,,2 hours 43 mins,292 km
Abilene,Laredo,,6 hours 6 mins,605 km
Abilene,Texarkana,,5 hours 19 mins,577 km
Amarillo,Killeen,,6 hours 58 mins,734 km
Amarillo,Abilene,,4 hours 12 mins,461 km
Amarillo,Harlingen,,11 hours 7 mins,"1,225 km"
Amarillo,Lubbock,,1 hour 47 mins,197 km
Amarillo,College Station,,7 hours 42 mins,825 km
Amarillo,Corpus Christi,,9 hours 28 mins,"1,050 km"
Amarillo,Wichita Falls,,3 hours 27 mins,362 km
Amarillo,Waco,,6 hours 24 mins,690 km
Amarillo,San Angelo,,4 hours 35 mins,492 km
Amarillo,Houston,,8 hours 49 mins,965 km
Amarillo,San Antonio,,7 hours 31 mins,817 km
Amarillo,Del Rio,,7 hours 2 mins,743 km
Amarillo,Mission,,,
Amarillo,Beaumont,,,
Amarillo,Longview,,7 hours 21 mins,789 km
Amarillo,Midland,,3 hours 33 mins,387 km
Amarillo,El Paso,,6 hours 46 mins,704 km
Amarillo,Brownsville,,11 hours 28 mins,"1,264 km"
Amarillo,Austin,,7 hours 38 mins,798 km
Amarillo,Dallas,,5 hours 30 mins,589 km
Amarillo,Laredo,,9 hours 38 mins,"1,007 km"
Amarillo,Texarkana,,7 hours 47 mins,798 km
Harlingen,Killeen,,5 hours 46 mins,632 km
Harlingen,Abilene,,7 hours 25 mins,802 km
Harlingen,Amarillo,,11 hours 0 mins,"1,210 km"
Harlingen,Lubbock,,9 hours 21 mins,"1,027 km"
Harlingen,College Station,,5 hours 44 mins,576 km
Harlingen,Corpus Christi,,2 hours 2 mins,219 km
Harlingen,Wichita Falls,,9 hours 0 mins,"1,011 km"
Harlingen,Waco,,6 hours 12 mins,687 km
Harlingen,San Angelo,,6 hours 42 mins,747 km
Harlingen,Houston,,4 hours 55 mins,529 km
Harlingen,San Antonio,,3 hours 39 mins,407 km
Harlingen,Del Rio,,5 hours 44 mins,570 km
Harlingen,Mission,,,
Harlingen,Beaumont,,,
Harlingen,Longview,,8 hours 12 mins,868 km
