,Name,City,Cuisines,Average Cost,Aggregate Rating
0,Le Petit Souffle,Binghamton,"Tea, Pizza, Indian, Seafood",46,4.8
1,Izakaya Kikufuji,Niagara Falls,"Desserts, Pizza, French, Fast Food, Mediterranean, Seafood",66,4.5
2,Heat - Edsa Shangri-La,Los Angeles,"Bakery, BBQ",148,4.4
3,Ooma,San Luis Obispo,"Desserts, Fast Food, Cafe, Indian, Seafood",88,4.9
4,Sambo Kojin,Yakima,"Tea, Seafood, Cafe, Fast Food",57,4.8
5,Din Tai Fung,Minot,"Tea, Fast Food, Bakery, Seafood",62,4.4
6,Buffet 101,Oklahoma City,"Tea, Pizza, Fast Food, American, Seafood",74,4.0
7,Vikings,Kahului,"Desserts, Pizza, Italian, BBQ, Bakery",74,4.2
8,Spiral - Sofitel Philippine Plaza Manila,Harrisburg,"Tea, Cafe, Pizza",222,4.9
9,Locavore,Islip,"Tea, Bakery, Pizza, Desserts",40,4.8
10,Silantro Fil-Mex,Syracuse,"Chinese, BBQ, Mediterranean, Fast Food",29,4.9
11,Mad Mark's Creamery & Good Eats,Montgomery,"Desserts, Tea, Pizza, Mexican, Cafe",33,4.2
12,Silantro Fil-Mex,Aberdeen,"Pizza, Mediterranean, BBQ",29,4.8
13,Guevarra's,Newburgh,"Fast Food, Pizza, Seafood",65,4.2
14,Sodam Korean Restaurant,Duluth,"Desserts, Tea, French, Fast Food, Cafe",25,4.3
15,Cafe Arabelle,Knoxville,"French, BBQ, Desserts, Seafood",29,3.6
16,Nonna's Pasta & Pizzeria,Islip,"French, BBQ, Desserts",34,4.0
17,Balay Dako,Hilo,"Tea, Pizza, Fast Food",56,4.5
18,Hobing Korean Dessert Cafe,Grand Rapids,"Tea, Chinese, Bakery, Desserts",22,4.5
19,Wildflour Cafe + Bakery,Austin,"Desserts, French, Bakery, BBQ, Seafood",55,4.4
20,NIU by Vikings,Medford,"French, BBQ, Desserts, Fast Food",111,4.7
21,The Food Hall by Todd English,Valparaiso,"Cafe, Mexican, Pizza, Bakery",66,4.5
22,Chez Michou,Fort Smith,"Tea, Bakery, Fast Food, American, Seafood",57,3.0
23,Caf愆 Daniel Briand,Muskegon,"Cafe, Mexican, Bakery, BBQ",85,3.8
24,Casa do Biscoito Mineiro,Fort Dodge,"Cafe, Pizza, BBQ, Chinese, American, Seafood",49,3.7
25,Maori,Provo,"Chinese, Seafood, Cafe, Italian",60,3.8
26,Pizza 礞 Bessa,Memphis,"Bakery, Mexican, BBQ, Desserts",96,3.2
27,Sushi Loko,Salt Lake City,"Bakery, American, Fast Food",33,3.1
28,Beirute,Melbourne,"Tea, BBQ, Fast Food",77,3.7
29,New Koto,Brainerd,"Desserts, Tea, Pizza, French, BBQ",66,3.7
30,Sandubas Caf愆,Dothan,"Tea, BBQ, Desserts, Seafood",61,0.0
31,Villa Tevere,Tucson,"Mexican, Mediterranean, Desserts, Fast Food",37,4.1
32,Rovereto,Portsmouth,"Desserts, Bakery, BBQ, Mediterranean, Seafood",11,3.1
33,Buena Carne,Alexandria,"Tea, Cafe, Mexican, BBQ, Bakery, Chinese",35,3.6
34,Taco Pep,Wrangell,"French, Bakery, Cafe, Desserts",11,4.3
35,Coco Bambu,Aguadilla,"Desserts, Tea, Pizza, Italian, Fast Food, Chinese",49,4.2
36,Tayp礴,Lake Charles,"Cafe, Pizza, BBQ, Seafood",49,3.6
37,Outback Steakhouse,Daytona Beach,"Desserts, Pizza, Mexican, Cafe, American",58,4.0
38,Manzu礴,Yakima,"Cafe, Pizza, Seafood",25,3.2
39,Coco Bambu,Rockford,"Tea, French, Bakery, BBQ, Cafe",72,4.9
40,Gero,Kansas City,"French, Pizza, American, Seafood",65,3.3
41,Brazilian American Burgers,Adak Island,"French, Bakery, Desserts, Fast Food",57,3.6
42,Pesqueiro Eco Gourmet,Wenatchee,"Cafe, Pizza, BBQ, Fast Food",85,4.0
43,Confeitaria Colombo,Corpus Christi,"Tea, Chinese, Bakery, Cafe",11,4.8
44,Bibi,Ontario,"Cafe, Pizza, Fast Food",17,4.7
45,Cervantes,Des Moines,"Mexican, Indian, BBQ, Pizza",45,4.5
46,Amir,Monterey,"Bakery, Fast Food",43,4.2
47,TT Burger,Helena,"Tea, Bakery, BBQ, Fast Food, Mediterranean",63,4.8
48,Braseiro da G礴vea,Sacramento,"Desserts, Tea, Pizza, Mexican, Fast Food",37,4.9
49,Balada Mix,Salt Lake City,"Bakery, Indian, American, Desserts",44,4.6
50,Garota de Ipanema,Akron,"Seafood, Bakery, BBQ, Fast Food",60,4.9
